loan_id,borrower_id,borrower_name,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-1001,BW-501,Kimberly Walker,JUMBO,2023-08-04,2053-08-04,293000,288853,5.23,360,CT,PURCHASE,D,11 years,$75k-$100k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1002,BW-502,Mark Sanchez,JUMBO,2023-12-13,2053-12-13,571000,567410,7.32,360,CO,PURCHASE,D,5 years,$150k+,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1003,BW-503,Sandra Martinez,CONVENTIONAL,2021-05-04,2051-05-04,331000,320464,7.64,360,MN,PURCHASE,A,11 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1004,BW-504,Christopher Clark,JUMBO,2021-01-06,2051-01-06,482000,461912,6.76,360,UT,PURCHASE,C,8 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1005,BW-505,Jessica Miller,VA,2022-03-18,2052-03-18,473000,457730,5.77,360,PA,PURCHASE,B,6 years,$50k-$75k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1006,BW-506,Susan Jones,USDA,2022-10-02,2052-10-02,431000,419850,5.37,360,WI,PURCHASE,B,11 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1007,BW-507,William Flores,USDA,2021-02-20,2051-02-20,266000,252178,5.34,360,AZ,PURCHASE,D,4 years,$150k+,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1008,BW-508,David Scott,CONVENTIONAL,2021-05-08,2051-05-08,264000,252354,5.82,360,KY,PURCHASE,D,12 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1009,BW-509,David Nguyen,USDA,2023-02-28,2053-02-28,523000,514919,7.02,360,KY,PURCHASE,B,5 years,$50k-$75k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
,BW-510,Donna Martin,JUMBO,2022-09-27,2052-09-27,252000,245699,5.82,360,MA,PURCHASE,C,7 years,$150k+,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1011,BW-511,Matthew Lopez,VA,2022-02-23,2052-02-23,641000,620512,6.03,360,GA,PURCHASE,A,3 years,$100k-$150k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1012,BW-512,Daniel Hernandez,USDA,2021-06-02,2051-06-02,339000,324158,5.7,360,SC,PURCHASE,A,9 years,$100k-$150k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1013,BW-513,Anthony Robinson,USDA,2022-03-12,2052-03-12,500000,486331,6.69,360,IL,PURCHASE,A,7 years,$100k-$150k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1014,BW-514,Elizabeth Thompson,USDA,2023-07-01,2053-07-01,238000,234687,5.77,360,NC,PURCHASE,B,7 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1015,BW-515,James Anderson,JUMBO,2022-05-12,2052-05-12,573000,558948,6.86,360,OR,PURCHASE,B,8 years,$150k+,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1016,BW-516,Lisa Hill,USDA,2023-04-21,2053-04-21,388000,383346,7.69,360,UT,PURCHASE,D,6 years,$50k-$75k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1017,BW-517,Sarah Robinson,JUMBO,2021-05-16,2051-05-16,641000,617094,6.77,360,OK,PURCHASE,B,6 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1018,BW-518,William Brown,JUMBO,2023-02-08,2053-02-08,388000,382152,7.15,360,MN,PURCHASE,D,2 years,$50k-$75k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1019,BW-519,James Lopez,USDA,2022-09-19,2052-09-19,395000,382658,4.56,360,OK,PURCHASE,C,8 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1010,BW-520,Linda Hernandez,CONVENTIONAL,2021-09-03,2051-09-03,585000,561948,5.79,360,NY,PURCHASE,C,7 years,$100k-$150k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1021,BW-521,Jennifer Robinson,CONVENTIONAL,2021-09-28,2051-09-28,429000,413361,6.23,360,TX,PURCHASE,A,6 years,$75k-$100k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1022,BW-522,Steven Hill,VA,2023-11-12,2053-11-12,570000,565860,7.2,360,AL,PURCHASE,B,3 years,$50k-$75k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1023,BW-523,Andrew Robinson,VA,2021-09-16,2051-09-16,504000,482373,5.3,360,AZ,PURCHASE,B,12 years,$50k-$75k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1024,BW-524,Michelle Martinez,VA,2021-10-18,2051-10-18,182000,176939,7.54,360,OH,PURCHASE,A,9 years,$75k-$100k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1025,BW-525,Joshua Nguyen,VA,2021-12-23,2051-12-23,227000,220895,7.36,360,OK,PURCHASE,A,7 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1026,BW-526,Nancy Walker,JUMBO,2021-11-03,2051-11-03,193000,185009,5.14,360,MD,PURCHASE,A,12 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1027,BW-527,Betty Martin,FHA,2022-02-21,2052-02-21,468000,451853,5.6,360,CA,PURCHASE,C,7 years,$50k-$75k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1028,BW-528,Michael Taylor,JUMBO,2023-02-08,2053-02-08,627000,613319,5.15,360,VA,PURCHASE,C,2 years,$100k-$150k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1029,BW-529,Matthew Smith,JUMBO,2021-02-06,2051-02-06,460000,434857,5.04,360,MI,PURCHASE,D,11 years,$100k-$150k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1030,BW-530,Alice Johnson,CONVENTIONAL,2024-01-15,2052-03-20,350000,535442,6.18,360,VA,PURCHASE,A,6 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1031,BW-531,Ashley Lee,USDA,2022-10-27,2052-10-27,338000,330462,6.19,360,CO,PURCHASE,D,6 years,$50k-$75k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1032,BW-532,Susan Lewis,VA,2021-09-12,2051-09-12,549000,531165,6.87,360,FL,PURCHASE,B,7 years,$50k-$75k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1033,BW-533,Elizabeth Nguyen,VA,2023-08-07,2053-08-07,244000,240930,5.87,360,IN,PURCHASE,A,2 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1034,BW-534,Christopher Hernandez,JUMBO,2022-01-12,2052-01-12,496000,478950,5.82,360,NY,PURCHASE,D,7 years,$100k-$150k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1035,BW-535,Mary Lewis,FHA,2021-08-23,2051-08-23,490000,469846,5.72,360,MO,PURCHASE,C,10 years,$150k+,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1036,BW-536,Elizabeth Gonzalez,VA,2022-10-05,2052-10-05,552000,537796,5.4,360,VA,PURCHASE,C,4 years,$150k+,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1037,BW-537,Jennifer Thomas,VA,2022-03-18,2052-03-18,547000,534846,7.8,360,WA,PURCHASE,C,3 years,$75k-$100k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1038,BW-538,Paul Jackson,CONVENTIONAL,2021-02-11,2051-02-11,203000,194538,6.61,360,CT,PURCHASE,D,12 years,$150k+,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1039,BW-539,Kimberly Sanchez,FHA,2022-06-28,2052-06-28,602000,590240,7.85,360,CA,PURCHASE,A,9 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1040,BW-540,Donna Martin,USDA,INVALID_DATE_FORMAT,2053-02-15,165000,162441,7,360,IN,PURCHASE,A,11 years,$100k-$150k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1041,BW-541,Lisa Torres,JUMBO,2021-09-09,2051-09-09,161000,153960,5.19,360,NV,PURCHASE,B,8 years,$100k-$150k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1042,BW-542,Michelle Anderson,USDA,2023-09-01,2053-09-01,412000,408557,7.54,360,NY,PURCHASE,C,2 years,$100k-$150k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1043,BW-543,Mary Harris,FHA,2022-09-06,2052-09-06,271000,262934,4.84,360,NY,PURCHASE,C,11 years,$100k-$150k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1044,BW-544,Richard Flores,CONVENTIONAL,2022-06-17,2052-06-17,327000,317053,5.45,360,MO,PURCHASE,A,10 years,$50k-$75k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1045,BW-545,John Martin,FHA,2023-08-20,2053-08-20,377000,373163,6.99,360,NV,PURCHASE,B,12 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1046,BW-546,Jennifer Brown,VA,2023-07-23,2053-07-23,381000,376819,7.03,360,NJ,PURCHASE,D,10 years,$50k-$75k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1047,BW-547,Charles Wright,FHA,2023-02-26,2053-02-26,243000,238199,5.7,360,AZ,PURCHASE,A,5 years,$75k-$100k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1048,BW-548,Michelle Flores,FHA,2022-02-16,2052-02-16,386000,375053,6.69,360,GA,PURCHASE,C,11 years,$100k-$150k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1049,BW-549,Charles Robinson,VA,2023-09-26,2053-09-26,301000,297569,5.92,360,MA,PURCHASE,D,9 years,$100k-$150k,CURRENT,0,Chase Home Lending,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1050,BW-550,Andrew Miller,JUMBO,2022-05-21,2019-01-01,384000,370844,5,360,SC,PURCHASE,A,4 years,$100k-$150k,CURRENT,0,PennyMac Loan Services,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1051,BW-551,Daniel Lewis,CONVENTIONAL,2022-03-26,2052-03-26,487000,473564,6.64,360,KY,PURCHASE,B,6 years,$50k-$75k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1052,BW-552,Kimberly Martin,CONVENTIONAL,2021-10-16,2051-10-16,285000,276636,7.25,360,NC,PURCHASE,D,8 years,$50k-$75k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1053,BW-553,Jessica Clark,USDA,2023-02-17,2053-02-17,517000,508843,6.91,360,VA,PURCHASE,C,6 years,$75k-$100k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1054,BW-554,Linda Hernandez,FHA,2023-05-22,2053-05-22,451000,442615,4.99,360,AL,PURCHASE,B,5 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1055,BW-555,Anthony Walker,CONVENTIONAL,2023-02-26,2053-02-26,255000,251007,6.95,360,WA,PURCHASE,A,11 years,$100k-$150k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1056,BW-556,Sandra Davis,VA,2022-06-08,2052-06-08,239000,232518,6.09,360,MO,PURCHASE,A,3 years,$50k-$75k,CURRENT,0,Freedom Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1057,BW-557,Ashley Johnson,VA,2023-03-12,2053-03-12,168000,164601,5.24,360,OR,PURCHASE,B,9 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1058,BW-558,Michael Wilson,USDA,2023-08-24,2053-08-24,268000,265606,7.66,360,MA,PURCHASE,B,5 years,$50k-$75k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1059,BW-559,Linda Wright,USDA,2022-11-07,2052-11-07,219000,214577,6.46,360,MD,PURCHASE,C,5 years,$75k-$100k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1060,BW-560,John Garcia,FHA,2023-12-20,2053-12-20,-250000,499775,5.82,360,IL,PURCHASE,D,5 years,$50k-$75k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1061,BW-561,Betty Allen,CONVENTIONAL,2022-04-12,2052-04-12,178000,174024,7.57,360,CO,PURCHASE,C,9 years,$75k-$100k,CURRENT,0,Nationstar Mortgage,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1062,BW-562,Joseph Martin,JUMBO,2021-01-15,2051-01-15,568000,538020,5.4,360,TX,PURCHASE,A,11 years,$100k-$150k,CURRENT,0,Wells Fargo Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1063,BW-563,Jessica Moore,FHA,2021-03-23,2051-03-23,307000,290183,4.87,360,MN,PURCHASE,C,7 years,$150k+,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
LN-1064,BW-564,David Johnson,VA,2021-09-26,2051-09-26,630000,606951,6.21,360,WI,PURCHASE,D,12 years,$75k-$100k,CURRENT,0,Rocket Mortgage Servicing,2024-08-01,2024-08-15,COMPLETE,ORIGINATION_LOS
